tier,business_name,vertical,group,website_url,city_area,email,email_source_url,owner_name,phone,site_score,site_signals,size_check,optout_notice,qualified,disqualify_reason,notes
qualified,J&L Mobile Welding,Mobile welding,B,https://jandlmobilewelding.wordpress.com/,Almonte / Ottawa Valley,info@ottawawelding.com,https://jandlmobilewelding.wordpress.com/contact-j-and-lwelding/,John Brownlee,613-222-7413,6,footer_year_2021_or_older_or_none;design_pre_2018;free_template;no_clear_cta;no_social_proof;stale_content,"PASS - sole owner/operator John Brownlee, RR #3 Almonte, single operator, no chain",FALSE,TRUE,,"Heavy equipment bucket repair, dump truck welding, trailer repairs, custom kayak/canoe trailers, sandblasting, aluminum welding. Site is a WordPress.com free blog from approx 2014, clearly not maintained. Accepts Visa/MasterCard."
qualified,Ottawa Mechanical Contracting Inc.,Commercial HVAC / mechanical,A,https://ottawamechanical.com/,Ottawa,kevin@ottawamechanical.com,https://ottawamechanical.com/contact/,Kevin,613-761-1151,5,design_pre_2018;footer_year_2021_or_older_or_none;no_clear_cta;stale_content;broken_elements,"PASS - single Ottawa location, 25+ yr commercial-only shop, no chain indicators",FALSE,TRUE,,"Pure commercial HVAC contractor; rooftop units, boilers, chillers, controls; emphasizes independent contractor angle; site copyright 2014; owner name Kevin shown in nav header mailto link; Ottawa/Kingston region"
qualified,Bruce Mechanical Ltd.,Commercial HVAC / mechanical,A,https://brucemechanical.com/,Kanata / Ottawa West,bbaskin@brucemechanical.com,https://brucemechanical.com/contact-us/,B. Baskin,613-832-7823,5,design_pre_2018;footer_year_2021_or_older_or_none;stale_content;no_social_proof;free_template,"PASS - single Arnprior location serving Ottawa/Kanata, small owner-operated, 30+ year veteran",FALSE,TRUE,,"Residential + commercial HVAC, heating, cooling, fireplaces, IAQ, renewables; 30+ years serving Ottawa and Valley; Heil/Carrier authorized dealer; oil conversion; in-floor heating; site uses .gif logo and outdated 2014-era WP theme; call for quote, no pricing online; email is owner direct bbaskin@"
qualified,Ottawa Valley Welding Inc.,Mobile welding,B,https://www.ottawavalleywelding.ca/,Ottawa / Ottawa Valley,ottawavalleywelding@gmail.com,https://www.ottawavalleywelding.ca/,Steve,1-613-864-8549,5,footer_year_2021_or_older_or_none;free_template;no_clear_cta;no_social_proof;stale_content,"PASS - 1-man operation (Steve), truck-based, heavy equipment focus, no chain",FALSE,TRUE,,"Heavy equipment, bulk trucks, forestry, crusher/screener, trailers. Testimonials from Orica Canada, Pollock Land Clearing, LBL Trucking. Owner named Steve. Gmail shown on own site. Wix free template, stock imagery."
qualified,Welding Company,Mobile welding,B,https://www.weldingcompany.ca/,Nepean / Gloucester,info@weldingcompany.ca,https://www.weldingcompany.ca/contact,,613-262-1660,5,footer_year_2021_or_older_or_none;free_template;no_clear_cta;no_social_proof;stale_content,"PASS - single shop at 999 Moodie Dr Nepean, no chain indicators, small operation",FALSE,TRUE,,"Snow plow repairs, railing fabrication, trailer repairs, staircase repair, mobile welding, bike racks. Wix site with stock photo hero, 2024 copyright footer. No reviews visible. Typos in site headings."
qualified,Zeal-Tek Driveway Sealing,Paving / asphalt sealing,B,https://www.zeal-tek.com/,Ottawa / Kanata / Barrhaven,info@zeal-tek.com,https://www.zeal-tek.com/request-quote/,,1-613-255-0695,5,free_template;design_pre_2018;no_clear_cta;no_social_proof;stale_content,PASS - 15 years experience; solo operator feel; Jimdo free-tier site; no franchise indicators,FALSE,TRUE,,Driveway sealing; oil-based sealant; crack filling; 5-step process; serves Kanata Barrhaven Stittsville Manotick; July peak season urgency; call/text for quote
qualified,Ottawa Industrial Coating Solutions Inc.,Powder coating / finishing,A,https://www.ottawa-ics.com/,Ottawa,yourics@rogers.com,https://www.ottawa-ics.com/,Moise Illouze,613-220-8646,5,design_pre_2018;no_social_proof;stale_content;slow_load;no_clear_cta,"PASS - sole owner/operator, 1 person listed, small shop founded ~1985",FALSE,TRUE,,"Powder + liquid coating, military/conformal coating niche. Rogers.com email = no professional domain email. Site is .htm keyword-stuffed with thousands of SEO terms in image alt text - classic 2010-era spam SEO. No testimonials. 7-business-day turnaround promise. Strong zincnorth.ca lookalike: sole operator, old site, industrial niche."
qualified,Manotick Marina,Boat / marine repair,B,https://www.manotickmarina.ca/,Manotick,info@manotickmarina.ca,https://www.manotickmarina.ca/connect,Joe Duhamel,613-692-4083,4,free_template;stale_content;no_clear_cta;footer_year_2021_or_older_or_none,"PASS - family-run marina, Joe and Keeley Duhamel owners, no boat sales, service and storage focused",FALSE,TRUE,,"Service-focused marina (no boat sales), 75 slips + 50 LOD boats, mechanical services Mercury/Mercruiser/Volvo Penta, service call option, Squarespace site from 2018 unchanged; Joe/Keeley Duhamel owners; peak July season note - boats out of water = urgent service window"
qualified,CIG Heating & Air Conditioning,Commercial HVAC / mechanical,A,https://cigheating.com/,Ottawa (Nepean),general@cigheating.com,https://cigheating.com/contact/,,613-226-6806,4,design_pre_2018;no_social_proof;stale_content;no_clear_cta,"PASS - locally owned and operated Ottawa, small crew evident from photos, one location",FALSE,TRUE,,"Residential + commercial/property management HVAC; furnace, boiler, AC, heat pump, ductless; 74-A Bentley Ave Ottawa; plain HTML site with minimal imagery; mentions property managers and commercial facilities; call for quote model; no reviews on site; Tempstar elite dealer"
qualified,Anew Electrical Contracting Ltd. 2024,Commercial electrical,A,https://www.anewelectrical2024.com,Edwards / Ottawa area,admin@anew-electrical.com,https://www.anewelectrical2024.com/,,613-913-0235,4,free_template;no_social_proof;no_clear_cta;footer_year_2021_or_older_or_none,"PASS - small ECA Ottawa member, single address 2366 York's Corners Road Edwards ON, no careers page",FALSE,TRUE,,"Commercial wiring, fire alarm installation, ICI focus; Squarespace site with no testimonials no reviews shown, form-only contact, no footer year; ECA and ESA registered; commercial and residential new construction wiring"
