business_name,vertical,group,website_url,city_area,email,email_source_url,owner_name,phone,site_score,site_signals,notes
J&L Mobile Welding,Mobile welding,B,https://jandlmobilewelding.wordpress.com/,Almonte / Ottawa Valley,info@ottawawelding.com,https://jandlmobilewelding.wordpress.com/contact-j-and-lwelding/,John Brownlee,613-222-7413,6,footer_year_2021_or_older_or_none;design_pre_2018;free_template;no_clear_cta;no_social_proof;stale_content,"Heavy equipment bucket repair, dump truck welding, trailer repairs, custom kayak/canoe trailers, sandblasting, aluminum welding. Site is a WordPress.com free blog from approx 2014, clearly not maintained. Accepts Visa/MasterCard."
Ottawa Mechanical Contracting Inc.,Commercial HVAC / mechanical,A,https://ottawamechanical.com/,Ottawa,kevin@ottawamechanical.com,https://ottawamechanical.com/contact/,Kevin,613-761-1151,5,design_pre_2018;footer_year_2021_or_older_or_none;no_clear_cta;stale_content;broken_elements,"Pure commercial HVAC contractor; rooftop units, boilers, chillers, controls; emphasizes independent contractor angle; site copyright 2014; owner name Kevin shown in nav header mailto link; Ottawa/Kingston region"
Bruce Mechanical Ltd.,Commercial HVAC / mechanical,A,https://brucemechanical.com/,Kanata / Ottawa West,bbaskin@brucemechanical.com,https://brucemechanical.com/contact-us/,B. Baskin,613-832-7823,5,design_pre_2018;footer_year_2021_or_older_or_none;stale_content;no_social_proof;free_template,"Residential + commercial HVAC, heating, cooling, fireplaces, IAQ, renewables; 30+ years serving Ottawa and Valley; Heil/Carrier authorized dealer; oil conversion; in-floor heating; site uses .gif logo and outdated 2014-era WP theme; call for quote, no pricing online; email is owner direct bbaskin@"
Ottawa Valley Welding Inc.,Mobile welding,B,https://www.ottawavalleywelding.ca/,Ottawa / Ottawa Valley,ottawavalleywelding@gmail.com,https://www.ottawavalleywelding.ca/,Steve,1-613-864-8549,5,footer_year_2021_or_older_or_none;free_template;no_clear_cta;no_social_proof;stale_content,"Heavy equipment, bulk trucks, forestry, crusher/screener, trailers. Testimonials from Orica Canada, Pollock Land Clearing, LBL Trucking. Owner named Steve. Gmail shown on own site. Wix free template, stock imagery."
Welding Company,Mobile welding,B,https://www.weldingcompany.ca/,Nepean / Gloucester,info@weldingcompany.ca,https://www.weldingcompany.ca/contact,,613-262-1660,5,footer_year_2021_or_older_or_none;free_template;no_clear_cta;no_social_proof;stale_content,"Snow plow repairs, railing fabrication, trailer repairs, staircase repair, mobile welding, bike racks. Wix site with stock photo hero, 2024 copyright footer. No reviews visible. Typos in site headings."
Zeal-Tek Driveway Sealing,Paving / asphalt sealing,B,https://www.zeal-tek.com/,Ottawa / Kanata / Barrhaven,info@zeal-tek.com,https://www.zeal-tek.com/request-quote/,,1-613-255-0695,5,free_template;design_pre_2018;no_clear_cta;no_social_proof;stale_content,Driveway sealing; oil-based sealant; crack filling; 5-step process; serves Kanata Barrhaven Stittsville Manotick; July peak season urgency; call/text for quote
Ottawa Industrial Coating Solutions Inc.,Powder coating / finishing,A,https://www.ottawa-ics.com/,Ottawa,yourics@rogers.com,https://www.ottawa-ics.com/,Moise Illouze,613-220-8646,5,design_pre_2018;no_social_proof;stale_content;slow_load;no_clear_cta,"Powder + liquid coating, military/conformal coating niche. Rogers.com email = no professional domain email. Site is .htm keyword-stuffed with thousands of SEO terms in image alt text - classic 2010-era spam SEO. No testimonials. 7-business-day turnaround promise. Strong zincnorth.ca lookalike: sole operator, old site, industrial niche."
Manotick Marina,Boat / marine repair,B,https://www.manotickmarina.ca/,Manotick,info@manotickmarina.ca,https://www.manotickmarina.ca/connect,Joe Duhamel,613-692-4083,4,free_template;stale_content;no_clear_cta;footer_year_2021_or_older_or_none,"Service-focused marina (no boat sales), 75 slips + 50 LOD boats, mechanical services Mercury/Mercruiser/Volvo Penta, service call option, Squarespace site from 2018 unchanged; Joe/Keeley Duhamel owners; peak July season note - boats out of water = urgent service window"
CIG Heating & Air Conditioning,Commercial HVAC / mechanical,A,https://cigheating.com/,Ottawa (Nepean),general@cigheating.com,https://cigheating.com/contact/,,613-226-6806,4,design_pre_2018;no_social_proof;stale_content;no_clear_cta,"Residential + commercial/property management HVAC; furnace, boiler, AC, heat pump, ductless; 74-A Bentley Ave Ottawa; plain HTML site with minimal imagery; mentions property managers and commercial facilities; call for quote model; no reviews on site; Tempstar elite dealer"
Anew Electrical Contracting Ltd. 2024,Commercial electrical,A,https://www.anewelectrical2024.com,Edwards / Ottawa area,admin@anew-electrical.com,https://www.anewelectrical2024.com/,,613-913-0235,4,free_template;no_social_proof;no_clear_cta;footer_year_2021_or_older_or_none,"Commercial wiring, fire alarm installation, ICI focus; Squarespace site with no testimonials no reviews shown, form-only contact, no footer year; ECA and ESA registered; commercial and residential new construction wiring"
Carleton Electric Ltd.,Commercial electrical,A,https://carletonelectric.com,Nepean / Ottawa,info@carletonelectric.com,https://carletonelectric.com/contact-us/,,613-244-1588,4,design_pre_2018;no_clear_cta;no_social_proof;stale_content,"Specializes in medium/high-voltage preventive maintenance, fire alarm, control systems, substations; 18 long-tenured staff; 2017 WordPress theme design, no reviews/testimonials, no quote form; copyright 2026 but content appears unchanged since 2017"
Ottawa Structural Residential Services,Concrete / foundation / waterproofing,B,https://www.ottawastructural.com/,Ottawa,estimates@ottawastructural.com,https://www.ottawastructural.com/,,613-226-1234,4,free_template;no_social_proof;stale_content;footer_year_2021_or_older_or_none,Wix site with no visible testimonials or reviews; no footer year visible; email on homepage header; basement waterproofing + foundation replacement + underpinning + crack injection + window wells; Platon membrane specialist; small local operator
Barrhaven Roofing & Foundation,Concrete / foundation / waterproofing,B,https://www.barrhavenroofing.ca/,Barrhaven,it@613roofing.ca,https://www.barrhavenroofing.ca/foundation.php,,613-255-2323,4,design_pre_2018;no_social_proof;stale_content;footer_year_2021_or_older_or_none,Multi-service: roofing + siding + foundation + snow removal; very basic old HTML carousel site with no footer year; no testimonials; epoxy + polyurethane crack injection + waterproofing; email it@613roofing.ca on contact page; free quotes emphasis; foundation is one of several services
Ottawa Millhouse,Custom millwork / cabinet,A,https://www.ottawamillhouse.com/,Ottawa,info@ottawamillhouse.com,https://www.ottawamillhouse.com/contacts/,,613-228-1220,4,footer_year_2021_or_older_or_none;stale_content;no_social_proof;no_clear_cta,Family millwork business commercial and residential; closets cabinets kitchen design studio 3D design; footer copyright 2021; site images dated 2017-2021; no testimonials on site; good testimonial angle - family legacy story; serves offices clinics retail
Old Salt Millwork,Custom millwork / cabinet,A,https://www.oldsaltmillwork.com/,Vars ON (eastern Ottawa),info@oldsaltmillwork.com,https://www.oldsaltmillwork.com/contact/,,,4,footer_year_2021_or_older_or_none;no_clear_cta;stale_content;slow_load,Commercial millwork and residential cabinetry; staff member AJ mentioned in homepage testimonial; testimonial angle: stress-free process and faster than expected delivery; footer 2022; iStock images suggest low-budget site; no phone number on site; good testimonial angle matches Group A lookalike
NewDecks.ca (22 Acre Inc.),Deck & fence builders,B,https://newdecks.ca/,Ottawa / Nepean / Barrhaven / Kanata,info@newdecks.ca,https://newdecks.ca/,,613-868-0022,4,no_social_proof;stale_content;no_clear_cta;slow_load,Custom decks fences interlock sod landscaping. Booking 2026. July peak - booking open now. Pain point: privacy for close-together Ottawa homes. Info email on own domain.
Doulos Construction Limited,Excavation / septic,B,https://www.doulosottawa.com,Ottawa,doulosconstruction@gmail.com,https://www.doulosottawa.com,,,4,free_template;footer_year_2021_or_older_or_none;design_pre_2018;no_clear_cta,Sewer & water specialists + excavating; emergency 24/7; site is © 2011 Wix build; no phone prominently shown; gmail contact; services include lead pipe replacement; specializes in NCR; July peak season relevant (site servicing + foundation work)
Jacques Bédard Excavation Ltd.,Excavation / septic,B,https://www.bedardexcavation.ca,"Ottawa, Navan / Orleans",info@bedardexcavation.ca,https://www.bedardexcavation.ca,,613-824-3208,4,free_template;footer_year_2021_or_older_or_none;no_clear_cta;no_social_proof,Excavation specialist since 1969; built by Yellow Pages (Wix equivalent); no reviews section visible; Ottawa + Orléans + Gloucester + Nepean + Kanata + Navan service area; drainage / backfill / grading / water & sewer; July peak season for new construction
Mr. Septic Inc.,Excavation / septic,B,https://www.mrseptic.com,Ottawa area,info@mrseptic.com,https://www.mrseptic.com/contact-us.html,,613-821-1820,4,design_pre_2018;footer_year_2021_or_older_or_none;stale_content;no_social_proof,Septic installation + design + inspections + repairs; website is table-based old layout with Google+ links (clearly pre-2018); licensed by Ontario MOE; Manotick/Ottawa service area; July = peak season for new septic installs; no reviews visible on site; strong candidate for modernisation pitch
Orleans Garage Doors Inc,Garage door installation,B,https://orleansgaragedoors.ca/,Orleans Ottawa,orleansgaragedoors@gmail.com,https://orleansgaragedoors.ca/,,613-294-8125,4,free_template;footer_year_2021_or_older_or_none;stale_content;no_clear_cta,Over 30 years experience. Torsion springs cables opener replacement. Orleans Ottawa area. Old GoDaddy single-page site. Hours 8am-3pm Mon-Fri. ShopperApproved badge. Gmail on own page. site_score 4 size PASS email on own site qualified.
Rubes' Interlock & Landscaping Services,Interlock / hardscaping,B,https://rubeslandscaping.ca,Ottawa,contact@rubeslandscaping.ca,https://rubeslandscaping.ca,,613-362-3959,4,free_template;design_pre_2018;no_clear_cta;stale_content,Steps; driveways; heated driveways; walkways; retaining walls; garden walls; fire pit; sod; patio; pool surround; irrigation; outdoor lighting. Serves Ottawa/Kanata/Stittsville/Nepean/Gloucester/Embrun/Limoges/Kemptville/Casselman/Orleans/Navan. ICPI certified. Testimonials mention owner involvement and competitive prices. Peak season July urgency.
R Cardinal and Sons,Metal fabrication / welding,A,https://rcardinalandsons.com/,Ottawa,info@rcsonswelding.com,https://rcardinalandsons.com/contact-us/,Ray (owner listed),613-833-3151,4,broken_elements;design_pre_2018;no_clear_cta;stale_content,Truck equipment fabrication; steel/stainless/aluminum fab; brake and shear work; plow distribution; portfolio has Lorem Ipsum placeholder text (broken/stale); Google+ link still live; website badly neglected - strong prospect; owner name Ray listed; zincnorth lookalike: both do custom steel fabrication with industrial/commercial clients and pride in craftsmanship | Also appears under vertical(s): Machine shops.
Sam's Welding,Mobile welding,B,https://www.samswelding.ca/,Carp,samchahineswelding@gmail.com,https://www.samswelding.ca/,Sam Chahine,613-261-8318,4,footer_year_2021_or_older_or_none;no_clear_cta;no_social_proof;stale_content,"Truck equipment (dump boxes, landscape bodies, flat decks), wrought iron gates/railings, mobile van. Owner Sam Chahine since 1989. Carp location. Basic single-page Bootstrap template, no reviews shown. | Also appears under vertical(s): Metal fabrication / welding."
Baudequin Mobile Welding,Mobile welding,B,https://www.baudequinwelding.com/,Navan / Ottawa,samuel@baudequinwelding.com,https://www.baudequinwelding.com/,Samuel Baudequin,613-795-8991,4,footer_year_2021_or_older_or_none;free_template;no_clear_cta;no_social_proof,"CWB certified, crane-equipped service rigs, heavy equipment/crusher/conveyor repairs, agricultural, CNC plasma cutting, press brake. Social links point to Wix defaults. Footer says 2018."
Asphalt Ottawa,Paving / asphalt sealing,B,https://asphaltottawa.ca/,Ottawa,info@asphaltottawa.ca,https://asphaltottawa.ca/,,613-454-5977,4,design_pre_2018;no_clear_cta;no_social_proof;free_template,Asphalt driveway; interlock; concrete paving; basic contact form; no visible testimonials; old WordPress build; July peak demand
Ottawa Quality Paint Finishing Ltd.,Powder coating / finishing,A,https://oqpf.ca/,Ottawa,eric@oqpf.ca,https://oqpf.ca/,Eric,613-727-0529,4,broken_elements;no_social_proof;free_template;stale_content,Powder coating specialist. Site launched ~2022 but still has Lorem ipsum placeholder text on multiple sections - signals incomplete/abandoned build. No testimonials or reviews shown. Eastern Ontario + Western Quebec coverage. Owner named Eric. Pain point: half-finished website undermines credibility. Strong angle: they invested in a new site but didn't finish it.
Shore Machine Works,Tool & die / precision mfg,A,https://shoremachineworks.com/,Ottawa,info@shoremachine.ca,https://shoremachineworks.com/contact-us/,,613-736-1050,4,footer_year_2021_or_older_or_none;no_social_proof;stale_content;no_clear_cta,"CNC machining + welding + hydraulic repairs + fabrication; farm/construction equipment repairs; founded 1971; currently hiring machinists/welders; COVID hours still on contact page; no CTA or quote form; zincnorth.ca lookalike - long-standing trade shop with dated site | Also appears under vertical(s): Machine shops, Metal fabrication / welding."
Fresa Precision Machining Inc.,Tool & die / precision mfg,A,https://www.fresa.ca/,Ottawa,info@fresa.ca,https://www.fresa.ca/#contact,,613-723-3445,4,footer_year_2021_or_older_or_none;no_social_proof;stale_content;no_clear_cta,Machining and welding one-stop shop; custom parts from drawings; prototyping + production; served food inspection/safety/construction clients; past projects listed but no named testimonials; zincnorth.ca lookalike - trade shop owner built site ~2018; toll-free 1-888 number | Also appears under vertical(s): Machine shops.
Cross & Associates Manufacturing Inc.,Tool & die / precision mfg,A,https://www.cam.on.ca/,Nepean,peter@cam.on.ca,https://www.cam.on.ca/contact.html,Peter Draycott,613-226-3002,4,footer_year_2021_or_older_or_none;design_pre_2018;no_clear_cta;no_social_proof,Precision CNC machining; defence/telecom/bio-medical/transportation; AS9100D+ISO 9001:2015; CGP; Peter Draycott President with direct email peter@cam.on.ca; very minimal static HTML site; strong zincnorth.ca lookalike
Dan's Precision Tools Inc.,Tool & die / precision mfg,A,https://www.dans-precision-tools.com/,Ottawa,daniel@dans-precision-tools.com,https://www.dans-precision-tools.com/index.html,Daniel Surprenant,(613) 835-3097,4,design_pre_2018;no_social_proof;stale_content;no_clear_cta,CNC machining + injection moulding + tooling + prototyping; 5-axis; 50-300 ton injection moulding; full in-house mould making; owner Daniel Surprenant signed welcome letter; email obfuscated on site indicating low web savvy; top zincnorth.ca lookalike prospect
Desforges Water Treatment,Well drilling / water treatment,B,https://www.desforgeswater.com/,"St-Isidore, ON",info@desforgeswater.com,https://www.desforgeswater.com/,Pierre Desforges / Mathieu Desforges,613-524-2177,4,design_pre_2018;footer_year_2021_or_older_or_none;no_social_proof;stale_content,"Water softeners, RO, UV, iron/sulphur filters. EcoWater and Durastill brands. Serves Rockland, Embrun, Hawkesbury, Cornwall near Ottawa. Free in-home water analysis. 25 yrs. Bilingual EN/FR."
Ottawa Chimney Services,Chimney & masonry repair,B,https://www.ottawachimneyservices.com/,Ottawa,JACOBDIXON@OTTAWACHIMNEYSERVICES.COM,https://www.ottawachimneyservices.com/,Jacob Dixon,613-809-3991,3,free_template;no_social_proof;footer_year_2021_or_older_or_none,"Chimney cleaning, repair, capping, inspection; solo operator; pre-books fall sweeps; seasonal urgency; Wix stock site with no reviews visible; self-employed since 2019"
Top Notch Masonry,Chimney & masonry repair,B,https://topnotchmasonry.ca/,Ottawa,matt@topnotchmasonry.ca,https://topnotchmasonry.ca/,Matt Renaud,613-986-0545,3,broken_elements;no_social_proof;free_template,"Chimney restoration, brick replacement, parging, stone fireplace; owner Matt Renaud personally on every job; 12+ years experience; placeholder text (info@website.com) still visible; 1 Google review only; generic WP template 2023"
