business_name,vertical,group,website_url,city_area,email,email_source_url,owner_name,phone,site_score,site_signals,notes
P. Parent Marine Services,Boat / marine repair,B,https://parentmarineservices.ca/,Ottawa,parentmarineservices@outlook.com,https://parentmarineservices.ca/contact/,Pat Parent,613-894-2350,2,footer_year_2021_or_older_or_none;stale_content,"Mobile marine shop, engine diagnosis and repair, winterizing, storage, SeaDek installation; owner Pat mentioned in testimonials; active Kenect SMS chat widget; July peak season urgency applies"
Ring Electric Inc.,Commercial electrical,A,https://ringelectric.ca,Nepean / Ottawa,admin@ringelectric.ca,https://ringelectric.ca/contact,,613-421-4442,2,free_template;no_clear_cta,"Primarily residential: rewiring, panel upgrades, EV chargers. Yes to small jobs. GoDaddy template site. 27 Northside Road Nepean."
Mr Foundation,Concrete / foundation / waterproofing,B,https://mrfoundation.com/,Ottawa,info@mrfoundation.com,https://mrfoundation.com/,,613-746-7300,2,stale_content;no_social_proof,"Foundation repair, waterproofing, crack repair, egress windows; family-owned since 1992; actively hiring estimator + crew; mentions 'no missed calls' and streamlined communications as selling points"
Renco Home Improvements,Concrete / foundation / waterproofing,B,https://renco.ca/,Ottawa,terry@renco.ca,https://renco.ca/about,Terry Fraser,613-859-9006,2,stale_content;no_social_proof,Owner Terry Fraser deals directly with every client; foundation crack + waterproofing + radon testing + basement renos; mentions fixed-price estimates; transferable lifetime warranty; blog updated 2024
Ottawa Deck Pro,Deck & fence builders,B,https://www.ottawadeckpro.ca/,Stittsville / Ottawa West,hello@ottawadeckpro.ca,https://www.ottawadeckpro.ca/contacts,,613-639-1744,2,free_template;stale_content,Decks railings fencing staining. Wix site. BBB accredited. July peak - mentions free estimates. Ottawa West focus.
Check The Deck,Deck & fence builders,B,https://checkthedeck.ca/,Ottawa,luc@checkthedeck.ca,https://checkthedeck.ca/,Luc Doiron,613-501-1944,2,free_template;stale_content,"Custom decks wood/composite/PVC, Flexstone coatings installer. Owner Luc Doiron. Strong named Google reviews. Borderline score - good near-future prospect."
Ottawa Gatineau Fencing,Deck & fence builders,B,https://ottawagatineaufencing.ca/,Ottawa (1184 Carling Ave),info@ottawagatineaufencing.ca,https://ottawagatineaufencing.ca/,,613-513-4592,2,no_clear_cta;stale_content,Residential and commercial fencing Ottawa and Gatineau. PVC wood chain link ornamental iron hybrid. Modern dotcom-powered site. Serves both ON and QC.
MWA Construction,Interlock / hardscaping,B,https://mwaconstruction.ca,Gloucester / Ottawa,info@mwaconstruction.ca,https://mwaconstruction.ca/index.php/contact/,Wesam,613-323-2778,2,broken_elements;no_social_proof,Interlock; landscape; hardscape; concrete; paving. Residential and commercial. 10-yr warranty. Owner Wesam on-site. Leitrim Rd Ottawa. Site is very new (March 2025) — could score higher with more signals checked. Peak season July.
WCI Construction (WCI Ottawa),Paving / asphalt sealing,B,https://wciottawa.com/,Kanata / Ottawa,info@wciottawa.com,https://wciottawa.com/contact/,Greg,613 224 4600,2,no_clear_cta;stale_content,Residential and commercial paving; concrete; interlock; hardscaping; landscaping; snow removal; owner Greg praised by name in reviews; July peak urgency
L-D Tool & Die,Tool & die / precision mfg,A,https://www.ldtool.com/,Stittsville,info@ldtool.com,https://www.ldtool.com/profile,,(613) 416-6451,2,no_social_proof,Plastic injection moulding + mould making; pushes Canada vs China cost narrative; 3-week lead times; medical/security/commercial sectors; ISO 9001:2015 + ISO 13485
