business_name,vertical,group,website_url,city_area,email,email_source_url,owner_name,phone,site_score,site_signals,notes
City Residential Foundation Repair,Concrete / foundation / waterproofing,B,https://www.ottawahomewaterproofing.ca/,Ottawa,,,Chuck Naish,613-859-9387,4,stale_content;design_pre_2018;no_clear_cta;footer_year_2021_or_older_or_none,Chuck Naish owner; testimonials from 2015 only; crack injection + waterproofing + sump pump; strong personal owner references; mentions free estimates; old WP site design
Lets Boom Crane Rental,Crane / rigging / industrial equip,A,https://www.letsboom.ca/,Ottawa,,,,613-851-1710,4,footer_year_2021_or_older_or_none;free_template;no_social_proof;no_clear_cta,Family-owned since 2009; 2 crane trucks + flatdeck trailer; 30 and 40-ton boom trucks; Wix site copyright 2019; call-for-quote only model; IUOE Local 793 member; residential and commercial lifts; Ottawa and surrounding areas
Eastern Crane Rentals,Crane / rigging / industrial equip,A,https://www.easterncranerentals.ca/,Carp,,,Frank Sved,613-402-6440,4,broken_elements;no_social_proof;stale_content;no_clear_cta,Ottawa and eastern Ontario coverage; certified crane operators and riggers; operated crane rentals with rigging design; domain points to wrong app (SiteScribe construction notes tool); effectively has no website; found via YP and SquaredAway; email office@easterncranerentals.ca found in directory only
Ottawa Garage Door Services,Garage door installation,B,https://www.ottawagaragedoorservices.com/,Ottawa / Barrhaven / Kanata / Orleans,,,,613-299-4834,4,stale_content;no_social_proof;footer_year_2021_or_older_or_none;free_template,Old WP site all images from 2018 no reviews or testimonials visible. Phone 613-299-4834 same as Ottawa Appliance Installation likely same owner Brian. Call or text for quotes. Serves Ottawa Kanata Orleans Barrhaven Manotick Stittsville.
Belmar Precision,Machine shops,A,https://www.belmarprecision.com/,Nepean,,,,613-820-3197,4,footer_year_2021_or_older_or_none;no_clear_cta;no_social_proof;design_pre_2018,Welcome to Ottawa's finest Prototype Machine shop - specializes in small run prototype and pre-production machining; ISO/ITAR approved vendor; no email on site; very old basic HTML site (2020 copyright) | Also appears under vertical(s): Tool & die / precision mfg.
Bytown Welding,Mobile welding,B,https://www.bytownwelding.com/,Nepean,,,,613-282-0392,4,footer_year_2021_or_older_or_none;design_pre_2018;no_social_proof;stale_content,"24/7 emergency welding, open 365 days, mobile and in-shop, boat/heavy equipment/residential, mentions Ottawa Airport and Pizza Pizza as clients | Also appears under vertical(s): Boat / marine repair, Metal fabrication / welding."
JND Paving Inc,Paving / asphalt sealing,B,https://www.jndpaving.com/,Ottawa / Orleans,,,,613-762-7473,4,free_template;no_clear_cta;no_social_proof;stale_content,Asphalt paving; resurfacing; sealing; interlock; concrete; epoxy floors; Orleans area focus; no email visible on site
A1 Tophat Blackcoat Corp,Paving / asphalt sealing,B,https://a1tophat.com/,Ottawa / Kanata / Nepean,,,,613-265-9498,4,design_pre_2018;no_clear_cta;no_social_proof;stale_content,Driveway sealing; paving; interlock; landscaping; commercial; also sells bulk sealer and equipment retail; since 2002; older HTML site
Splash Well Drilling,Well drilling / water treatment,B,http://www.splashwelldrilling.ca/,"Prescott, ON",,,,613-925-4885,4,no_ssl;footer_year_2021_or_older_or_none;no_social_proof;design_pre_2018,Residential/commercial/geothermal well drilling. Service area Gananoque to Cornwall and north to Ottawa. Contact form only no email shown. Copyright 2015 old design no SSL.
Saunders Well Drilling Ltd.,Well drilling / water treatment,B,https://www.saunderswelldrilling.ca/,"Pembroke, ON",,,Troy Saunders,613-732-4923,4,design_pre_2018;footer_year_2021_or_older_or_none;no_social_proof;stale_content,"Well drilling, pumps, hydrofracturing, well sealing. Ottawa Valley. Owner Troy Saunders 30+ yrs experience. Wells for Africa charity on site."
